"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"PYRRO","IP",4.61519364448858,114,"IP:PYRRO",3.265
"PYRRO","MNN",2.64427672955975,157,"MNN:PYRRO",3.265
"PYRRO","MT",3.22540880503145,143,"MT:PYRRO",3.265
"PYRRO","NC",3.37836477987421,143,"NC:PYRRO",3.265
"PYRRO","NDE",4.7877358490566,110,"NDE:PYRRO",3.265
"PYRRO","PTEMP",4.29396226415094,113,"PTEMP:PYRRO",3.265
"PYRRO","PTIME",4.65159128978224,92,"PTIME:PYRRO",3.265
"PYRRO","PYRID",4.18833333333333,130,"PYRID:PYRRO",3.265
"PYRRO","PYRRO",4.12283018867925,117,"PYRRO:PYRRO",3.265
"PYRRO","RAMAN",4.44471698113208,102,"RAMAN:PYRRO",3.265
"PYRRO","RR",4.14616352201258,107,"RR:PYRRO",3.265
"PYRRO","ZIF",3.87713614128708,103,"ZIF:PYRRO",3.265
"RAMAN","BET",3.14518867924528,140,"BET:RAMAN",3.085
"RAMAN","CL",3.62264150943396,109,"CL:RAMAN",3.085
"RAMAN","ENEG",2.87857784623283,151,"ENEG:RAMAN",3.085
"RAMAN","EPH",4.09059748427673,108,"EPH:RAMAN",3.085
"RAMAN","IP",4.50248262164846,117,"IP:RAMAN",3.085
"RAMAN","MNN",2.69874213836478,154,"MNN:RAMAN",3.085
"RAMAN","MT",2.8922641509434,146,"MT:RAMAN",3.085
"RAMAN","NC",2.86553459119497,147,"NC:RAMAN",3.085
"RAMAN","NDE",4.45623154922346,109,"NDE:RAMAN",3.085
"RAMAN","PTEMP",3.13603773584906,132,"PTEMP:RAMAN",3.085
"RAMAN","PTIME",4.36139818589804,101,"PTIME:RAMAN",3.085
"RAMAN","PYRID",2.9514465408805,143,"PYRID:RAMAN",3.085
"RAMAN","PYRRO",3.51540880503145,129,"PYRRO:RAMAN",3.085
"RAMAN","RAMAN",4.04716981132075,109,"RAMAN:RAMAN",3.085
"RAMAN","RR",3.79647798742138,112,"RR:RAMAN",3.085
"RAMAN","ZIF",4.11806746712407,96,"ZIF:RAMAN",3.085
"RR","BET",4.69559748427673,119,"BET:RR",3.405
"RR","CL",4.57836477987421,93,"CL:RR",3.405
