IP,ENEG,NDE,ZIF,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,RR,FLOWCELL,EC,CL,EPH,CD
7.61,1.91,8,0,0,0,0.37,4.32,4.5,26.7,15.9,1.05,1220,800,2,0,0.5,0.255,7.2,10.5
7.69,1.9,10,1,0,0,0.91,7.795784451,4.2,63.15874818,0,1.02,840.6499871,900,5,0,0.1,1,6.8,3.80031
0,0,0,0,1,0,0,7.852381727,0,9.8,55.9,0.63,473.9422623,1060,7.920847189,0,0.1,1.41035047,6.8,0.17628486
7.61,1.91,8,0,0,0,1.392,2.8,2.2,16.37870651,26.02148027,1.045503428,242,900,4.241535237,0,0.1,0.676186133,6.8,3.89261
7.83,1.83,6,1,0,0,2.8,2.77,4,41.20558932,0,1.317824269,1370.71,1000,5,0,0.5,0.4,7.2,9.743521216
7.81,1.88,7,0,0,0,4.54,8.265691229,5,41.13242312,19.65648581,1.148786719,583.2846909,800,2,0,0.2,0.3,7,2.48
7.61,1.91,8,0,1,0,5,9.973957274,3,82.39455539,17.60544461,0.938631049,401.4848421,900,21.22119022,0,0.5,1,7.2,3.8
7.61,1.91,8,0,0,0,2.53,2.75,4,21.19,28.43,1.18,480,700,1,0,0.5,1.3,7.2,3.99431
0,0,0,0,0,0,0,10.8,0,38.54599,11.12816,1.176213884,258,900,2,0,0.1,1,6.8,0.578
7.61,1.91,8,1,0,0,13.18585375,10.65163902,4,58.69083197,0,1.020776112,601.1285316,450,5,0,0.5,1,7.2,16.51707
7.61,1.91,8,1,0,0,0.872,5.3,4,53.43117011,32.99115044,0.94,178.4,600,5,0,0.5,0.6,7.2,1.297315822
0,0,0,0,0,0,0,6,0,65,20,1.230061074,514.2401159,200,2.893886159,0,1,0.316884864,13.8,16.52504
7.61,1.91,8,0,0,0,0.76,5.522640474,4,39.06093906,28.87112887,0.979381729,589,975,5.960854157,0,0.1,0.4,7.5,36.73783608
7.61,1.91,8,0,0,0,0.52,6.575740364,3.9,40.25185773,16.42180498,1.27,477.7384348,800,2.3,0,0.5,0.626819737,7.2,7.12222
7.83,1.83,6,0,0,0,3.2,3.2,4,43.6,6.4,1.127423904,594.8489072,900,5,0,0.5,1,7.2,3.38
7.83,1.83,6,1,0,0,1.366013249,3.644523348,3.9,42.82608696,14.64080544,0.95,513.05528,1100,10,0,0.1,0.4,6.8,6.59255
7.61,1.91,8,0,0,1,1.79,7.03542074,4.2,53,42.6,1.23,842.3380922,800,10,0,0.5,1,7.2,7.222
7.61,1.91,8,0,0,0,3.01,2.58,4,31.78294574,10.07751938,0.992,628,800,5,0,0.1,1,6.8,16.23929
7.61,1.91,8,0,0,0,2.61,3.06,4,44.2,30.3,0.96,545,900,5,0,0.1,0.48,6.8,14.85908
0,0,0,1,0,0,0,11.2415071,0,54.4189648,21.24721642,1,1347,900,2,0,0.1,4,6.8,1.52
7.61,1.91,8,0,0,1,1.2,6.858753905,4,34.61342396,14.46049278,1.15682429,455.6586426,900,3,0,0.5,0.2,7.2,12.0691
7.69,1.9,10,0,0,0,1.45,4.696209838,2.3,41.67273316,16.90932622,1.03,168,900,5,0,0.1,0.5,6.8,1.707
7.61,1.91,8,0,0,0,2.72,1.71,4,24.56140351,11.11111111,0.847,732,800,5,0,0.1,1,6.8,10.23437
7.83,1.83,6,1,0,0,2.8,6.8,3.4,2.702702703,91.89189189,1.530968767,772,900,5,0,0.5,0.3,7.2,20.7
7.61,1.91,8,0,1,0,6.63,5.727205076,4,48.90811356,16.67226608,1.047518765,689,1000,5,0,0.5,0.8,7.2,37.40565885
