IP,ENEG,NDE,ZIF,POLY,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,EC,CL,NMT,CPGC,EPH,ovp
7.61,1.91,8,1,0,0,0,2.2,5.374686235,4,46.13248967,0,1.326824359,1066.063913,1000,3,5,0.5,0.4,177.8,1,7.2,0.42
0,0,0,1,0,0,0,0,1.63,0,18.35533,24.15624,1.143549843,652.8723751,1100,5,4.628676615,0.5,0.6,177.8,1,7.65,0.34
9.35,1.65,10,0,0,0,0,0.77,0.61,4,68.85245902,14.75409836,3.02,1239.9,900,1,8.862294107,0.5,1,177.8,1,7.2,0.42
7.83,1.83,6,1,0,0,0,2.826781398,5.420706679,4.4,42.82608696,14.64080544,0.95,513.05528,900,1,10,0.1,0.4,127,1,6.8,0.49
7.83,1.83,6,0,0,0,0,1.25,3.942046519,4,56,22.1,0.890316044,473.7613892,750,1,10.40086684,0.1,0.32,177.8,1,6.8,0.46
7.83,1.83,6,0,0,0,0,0.74,20.4,4.2,50.62483,13.84702,1.28,382,900,2,2,0.1,1,177.8,1,6.8,0.35
7.61,1.91,8,1,0,0,0,14.11403542,11.96760386,4,60.54522193,0,1.01721483,579.5449365,500,2,5,0.5,1,127,1,7.2,0.67
7.61,1.91,8,0,1,0,0,1.05,1.42,3.6,58.2677,16.21837,1.041,1421.2,1000,1,2,0.5,0.6,177.8,1,7.4,0.55
7.61,1.91,8,0,0,0,0,1.96,2.9,3.5,62.52873563,31.26436782,1.690039338,1564,650,2,10,0.5,2,177.8,1,7.2,0.79
7.83,1.83,6,1,0,0,0,3,6.076013742,4,50.83452392,22.94624743,1.019157322,787.0830979,1050,1,5.423406683,0.5,1,177.8,1,7.2,0.39
7.61,1.91,8,0,0,1,0,22.7,18.7,11,35.30510585,0,1.111397685,436.7824417,400,1,5,0.5,1,177.8,1,7.2,0.44
0,0,0,0,0,0,1,0,9.046223958,0,23.42158859,18.73727088,1.05,497.7209627,900,2,5,0.1,0.4,177.8,0,6.8,0.47
7.61,1.91,8,0,0,0,0,2.502516899,5.268708951,4,27.47252747,33.66633367,0.88,665.1,900,2,5,0.1,0.5,177.8,1,6.8,0.59
7.61,1.91,8,0,0,0,0,0.86,5.03,3.4,30.59753546,46.43106254,0.97,1009.2,1000,1,7.677760104,0.1,0.833,177.8,1,6.8,0.75
