IP,ENEG,NDE,GRAPHENE,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,FLOWCELL,EC,CL,CPGC,EPH,TOF
7.61,1.91,8,0,0,0,5.03,10.75,2.7,63.34883721,21.30232558,0.998882312,775,900,4,3,0,1,2,1,8.8,2.613372716
7.83,1.83,6,1,0,0,1.704145045,3.161637517,4,68.68327402,7.829181495,0.94,169,800,2,2,0,0.1,2,1,6.8,1.386118952
7.61,1.91,8,0,0,1,0.41,6.19,4,42.85714286,22.36842105,1.1,691.4184748,900,2,5.294910496,0,0.5,1,1,7.2,2.851094378
7.61,1.91,8,1,0,0,2.013,7.33,4,54.27159929,19.15167018,1.106360812,579.8235931,750,3,4.308834122,0,0.5,1,1,7.2,2.74883707
7.83,1.83,6,0,0,0,2.7,2.7,4,44.4,4.7,1.11747328,561.273538,900,2,5,0,0.5,1,0,7.2,2.032037438
7.81,1.88,7,1,0,0,1.883446736,6.604098759,3,45.24570238,25.79440875,0.914402573,415.5792834,800,1,20,0,0.5,0.2,1,7.2,2.626228198
7.83,1.83,6,0,0,0,0.045597407,6.634422786,4,38,18.9,0.97,624.1757222,900,2,2,0,0.5,2.5,1,7.2,2.783200119
7.83,1.83,6,0,0,0,0.458155678,2.655390688,4,49.22,0,0.95,646,1100,1,7.216868558,0,0.1,0.6,1,6.8,3.099864933
7.83,1.83,6,0,0,0,0.351,2.86,4,38.28954017,0,1.246563325,1102.2,1000,3,5,0,0.5,0.4,1,7.2,3.555267451
7.61,1.91,8,0,0,1,1.57,7.578526301,3.7,78.1,16.9,1.09,502.4206011,800,2,10,0,0.5,1,1,7.2,2.253241487
7.69,1.9,10,1,0,0,1.14,7.827835615,4,50.80418936,22.95276944,1.042396734,409.8343894,800,2,5,0,0.1,0.5,1,6.8,2.465006344
7.83,1.83,6,0,0,0,1.5,5.201444974,4,60.53738273,21.3349514,0.895621966,549.5965678,1050,1,8.494776994,0,0.5,1,1,7.2,1.95889988
7.61,1.91,8,0,0,0,1.01,6.655838658,4,51.015,41.586,0.98,628.3198752,1000,1,7.008051371,0,0.5,0.5,0,7.2,3.039060905
7.69,1.9,10,0,0,1,5.05,13.84875211,4.1,52.20078666,24.55516014,1.068665599,601.6931657,700,2,5,0,0.5,1,1,7.3,0.994065592
7.61,1.91,8,1,0,0,0.5,2.82,3,18.70089052,53.61445783,1.115415125,458,1000,2,5,0,0.5,1,1,7.2,3.231921863
7.61,1.91,8,0,1,0,1.49,6.327286299,4,49.1,23.6,1.120982132,673,800,5,5,0,0.5,0.35,1,7.2,3.536988548
7.61,1.91,8,0,1,0,22.7,18.7,11,35.30510585,0,1.111397685,436.7824417,400,1,5,0,0.5,1,1,7.2,1.106795988
7.61,1.91,8,0,0,0,52.48,13.63201182,12,46.79,27.52,0.826324954,425.9676049,1000,2,5,0,0.5,0.768598419,1,7,0.459842484
7.83,1.83,6,1,0,0,5.044,4.884,4,61.92,21.76,1.03,651.9364056,25,24,0,0,0.1,0.2,1,6.8,2.063209948
8.35,2.05,10,0,0,0,0.03,9.940460042,4,64.19,17.05,1.036860502,33.6,800,2,6.472776613,0,0.1,1,1,6.8,3.936349599
7.61,1.91,8,0,0,0,2.267041901,7.551594747,4.1,8.854891052,21.04775151,1.121643445,378,700,3,4.228338805,0,0.1,0.64773859,1,6.8,1.471439581
7.83,1.83,6,0,0,0,0.927554774,4.142011834,4,45.1,40.3,0.966552058,145.88309,900,1,30,0,0.1,0.75,0,6.8,2.529959804
7.69,1.9,10,1,0,0,1.45,4.696209838,2.3,41.67273316,16.90932622,1.03,168,900,2,5,0,0.1,0.5,1,6.8,2.445796437
7.69,1.9,10,0,0,0,2.44,19.50980251,3,80.88,10.72,1.42,802.7,800,3,5,0,0.1,1.5,1,6.8,0.355517877
7.61,1.91,8,0,0,0,1.25,1.46,3.4,41.7,34.2,1.02,228,1000,1,5,0,0.1,0.58,1,6.8,3.407410026
7.37,1.96,10,0,0,0,1.8,5.337353956,4.3,26.31,8.65,1.05079626,581.3,950,2,4.93563137,0,0.1,1,1,6.8,2.985425194
7.81,1.88,7,0,0,0,3.18,8.724496581,5,41.55130663,18.97100134,1.173577049,574.6732444,600,2,2,0,0.2,0.3,1,7,2.432668633
7.69,1.9,10,0,0,0,2.26,13.48351981,3.3,62.29,15.31,1.31,1031.3,900,3,5,0,0.1,1.5,1,6.8,1.12989456
7.83,1.83,6,0,0,0,2.7,5.71,4,46.25958761,18.06952884,1.072196267,583.1,950,2,5,0,0.1,0.6,0,6.8,2.121220594
7.83,1.83,6,0,0,0,0.64,7.03,4,61.3086771,20.76813656,0.97,746,900,2,3,0,1,2,1,8.8,2.559727094
7.61,1.91,8,0,0,0,1.57,2.5,3.5,58.66666667,29.33333333,1.743553867,1564,600,2,10,1,0.5,2,1,7.2,2.76983203
7.61,1.91,8,0,0,0,0.15,5.005154666,2.552,42.39715965,0,1.01,549.520729,900,1.725938974,4.935307124,0,0.1,0.5,1,6.8,4.469617088
7.83,1.83,6,0,0,0,1.54072305,3.683715873,8,35,6,1.15,692.6,950,0.333,10,0,0.5,1,0,7.2,2.648918291
7.83,1.83,6,0,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,3,4.729955544,0,0.1,1,1,6.8,2.631796133
7.83,1.83,6,0,0,0,1.47,10.15,4,70.14778325,15.27093596,0.94,705,900,4,3,0,1,2,1,8.8,2.088116384
7.61,1.91,8,0,0,0,15.71282183,11.99692584,4,60.57305984,0,1.017558505,590.0936269,550,2,5,0,0.5,1,1,7.2,1.960084473
7.61,1.91,8,0,1,0,0.087,2.5,4.2,23.14781992,39.50726693,1.416358668,937.6426607,900,2,4.129754254,0,0.1,1,1,6.8,3.659073941
7.83,1.83,6,0,0,0,0.2,2.9,4,44.40184049,18.70398773,1.024,360.1,1000,3,3.538486409,0,1,1,1,8.8,2.972039509
7.83,1.83,6,0,0,0,0.59,4.05,3,43.7037037,17.77777778,1.108008553,1243,1000,2,5.488241642,0,0.5,1,1,7.2,2.443469353
7.81,1.88,7,0,0,0,2.2,1.11,8,25.43142598,3.633060854,1.02,318.0000421,800,2.5,5,0,0.1,0.675492526,1,6.8,1.820328017
7.83,1.83,6,1,0,0,0.74,20.4,4.2,50.62483,13.84702,1.28,382,900,2,2,0,0.1,1,1,6.8,2.403837785
7.83,1.83,6,0,1,0,1.8,3.61,4.7,57,14,1.025613445,287,900,1,6.288320443,0,0.1,0.8,1,6.8,3.024975584
7.61,1.91,8,0,0,0,1,5.25,4,35.19054311,31.24741671,1.015946332,520.2360027,950,2,5,0,0.1,1,1,6.8,3.052536344
7.61,1.91,8,0,1,0,13,6.469933045,4,53.2,15.3,1.030600513,429.6370153,650,3,5,0,0.5,0.5,1,7.3,1.599129605
7.83,1.83,6,0,0,0,1.35,8.678522853,12,34.19630615,16.82393741,1.07287687,286.3,900,1,6.536066084,0,0.5,1,0,7.2,2.487345113
7.61,1.91,8,0,0,0,1,0.25,4,35.93206,10.67799,1.754061917,947.8462306,850,2,7.011123953,0,0.1,1.414,0,6.8,1.460239074
7.61,1.91,8,0,0,1,1.41,4.683251484,4,20.00724026,0,1.139204125,481.6750753,1000,1,3.786435761,0,0.5,0.295199083,0,7.2,3.868377081
7.83,1.83,6,0,1,0,1.6,4.6,4,49.8,26.7,1.43,1025.69,900,1,5,0,0.1,0.398,1,6.8,2.524512957
7.83,1.83,6,0,0,0,1.47,10.15,4,70.14778325,15.27093596,0.94,705,900,4,3,0,0.5,2,1,7.2,2.132918234
7.61,1.91,8,0,0,0,0.953383072,2.453946912,4,45.10628709,20.98700518,0.900747346,237.9225274,800,1,10.34424256,0,0.5,0.2,0,7.2,3.470608494
7.61,1.91,8,0,1,0,4.02,11.37358606,4,64.1,20.2,0.9618886,228.8565938,650,3,5,0,0.5,0.5,1,7.3,3.131794038
7.61,1.91,8,0,0,0,3.01,2.58,4,31.78294574,10.07751938,0.992,628,800,2.5,5,0,0.1,1,1,6.8,2.771399554
7.61,1.91,8,0,0,0,1.09,2.23,3.7,48.04671,26.34905,1.031,1414.1,1000,1,2,0,0.5,0.6,1,7.4,3.576190006
7.81,1.88,7,1,0,0,3.7,5.960251017,5,49.8,21.9,0.919753394,454.229189,500,1,20,0,0.1,0.2,1,6.8,2.66065
7.61,1.91,8,0,0,0,5,4.890768374,4,44.54040716,0,1.289380073,791.9699768,750,2,3,0,0.1,0.2,0,6.8,3.329876378
7.37,1.96,10,0,0,0,1.8,6.024113819,4.3,26.31,8.65,1.074370558,581.3,950,2,4.530246928,1,1,1,1,8.8,3.799936561
7.81,1.88,7,0,0,0,0.25,15.8146,2.2,54.51531953,24.36164919,1.083012286,651.3157736,1000,3,5,0,0.5,0.8,1,6.8,3.917527633
7.83,1.83,6,0,0,0,1.73,8.2,4,34.6,44.6,1.75,724,900,2,2,0,0.1,0.76,0,6.8,2.410075712
7.81,1.88,7,0,0,0,0.25,15.7266,3.1,60.17021522,21.87210175,1.101689477,666.0178213,900,3,5,0,0.5,0.8,1,6.8,2.427213218
7.83,1.83,6,1,0,0,0.44,7.97,4.14,52.9,14.8,1.26,533.9821684,900,2,3.300419657,0,0.1,0.742135859,1,6.8,2.837678835
7.61,1.91,8,1,0,1,3.28,7.326269792,4,54.35094773,31.66283745,0.98,261,900,1,3,0,0.1,0.1,1,6.8,3.023660058
9.5,2.55,0,1,0,0,1.31,3.8,4.2,26.65463297,0,1.01280346,645,1000,1,5,0,0.1,1,1,6.8,3.017728569
7.37,1.96,10,0,0,0,16.24969381,2.370282849,4,24.8,0,1.3,763.4571952,1000,2,3,0,0.1,0.325,1,6.8,1.008011103
7.61,1.91,8,1,0,0,1.39,6.119044162,4,23.29980225,57.26936635,1.47,308,900,3,5.204262164,0,0.5,1,1,7.2,3.320593941
7.83,1.83,6,0,1,0,16.37848842,12.41013219,12,54.82,43.18,1.34,22.5,650,2,3,0,0.5,0.3,0,7.3,0.185970701
7.61,1.91,8,0,0,0,1.96,2.9,3.5,62.52873563,31.26436782,1.690039338,1564,650,2,10,1,0.5,2,1,7.2,3.280137135
7.61,1.91,8,0,0,0,2.07,7.29,2.7,53.6351166,29.76680384,1.03488809,923,1000,4,3,0,1,2,1,8.8,2.936813592
7.61,1.91,8,1,0,0,0.86,5.03,3.4,30.59753546,46.43106254,0.97,1009.2,1000,1,7.677760104,0,0.1,0.833,1,6.8,3.548543835
7.83,1.83,6,0,0,0,0.27,10.15,4,59.21938089,20.86137281,0.94,705,900,4,3,0,1,2,1,8.8,2.874601945
7.61,1.91,8,0,0,0,1.08,5.762991436,3.7,12.94,24.29,1.01,405.6,800,3,5,0,0.5,0.5,1,7.2,3.216810262
7.81,1.88,7,0,0,0,3.54,5.382165047,5,20.901,41.239,1.279560547,568,25,24,2,0,0.2,0.3,1,7,2.668237142
7.83,1.83,6,0,0,0,3.2,3.2,4,43.6,6.4,1.127423904,594.8489072,900,2,5,0,0.5,1,0,7.2,2.041563721
7.83,1.83,6,0,1,0,0.98339719,3.173690932,12,48.24,15.14,1.23,469.6,850,2,3,0,0.5,0.3,0,7.3,2.716149528
7.81,1.88,7,0,0,0,0.72,3.12,4,42.87573195,29.67902841,0.92,315.0358753,700,1.506148809,7.965496369,0,0.5,0.1,0,7.2,4.642353359
7.61,1.91,8,0,0,0,0.75,3.96,4,49,18,0.94,263,900,2,2,0,0.5,1,1,7.3,2.047141102
7.83,1.83,6,0,0,0,2.896536118,4.469264713,4,46,6,3.32,1123.035709,800,3,5,0,0.5,0.931975985,0,7.2,1.537364788
7.61,1.91,8,0,0,0,4.211922203,8.64170245,3.9,55.22198194,24.28444218,1.067551483,789,900,2,5,0,0.5,1,1,7.2,2.174426364
7.61,1.91,8,0,1,0,5,9.973957274,3,82.39455539,17.60544461,0.938631049,401.4848421,900,2,21.22119022,0,0.5,1,1,7.2,1.920212605
7.83,1.83,6,0,1,0,1.72,4.57,4.7,57,12,1.06017962,299,900,1,6.440632066,0,0.1,0.8,1,6.8,2.963039366
7.61,1.91,8,0,1,0,23,18.7,3.8,68.48158175,23.80912967,0.951315319,306.128195,800,3,5,0,0.5,1,1,7.2,2.045764771
7.61,1.91,8,0,0,0,2.5,4.334964214,4,50.66666667,28.59259259,0.87,412.9515937,600,2,10,0,0.1,0.3,0,6.8,2.841640506
7.61,1.91,8,1,0,0,0.121,3.03,4.2,57.42574257,27.06270627,1.04,1585,1000,1,5,0,0.1,1,1,8,3.464469514
7.61,1.91,8,0,0,0,10.2,4.006305851,4,38.87367064,43.38543345,0.90784802,238,900,1,30,0,0.1,0.75,0,6.8,1.883561765
7.83,1.83,6,0,1,0,1.75,2.8,4.7,61,15,1.0072281,224,900,1,6.254611641,0,0.5,0.8,1,7.33,3.242577678
7.61,1.91,8,0,0,0,2.39,2.82,12,21.91,21.69,1.18,437,700,1,1,0,0.5,1.3,1,7.2,1.561847024
9.35,1.65,10,0,0,0,4,9.51,4,46.64767966,20.44955542,1.127249137,858.9,950,2,5,0,0.1,0.6,0,6.8,1.047302796
9.35,1.65,10,1,0,0,2.560062091,9.614884273,4.18397,49.18032787,45.89968524,0.95,495.264182,700,1,7.31515653,0,0.5,2,1,7.2,0.746397091
7.61,1.91,8,0,0,1,2.62,6.72,4,42.68,35.41,1.492415018,1535,900,2,5,0,0.5,1.06507923,1,7.2,2.913862091
7.83,1.83,6,0,0,0,2.1,3.895035339,4,44.41299366,0,1.319639984,1259.477708,1000,3,5,0,0.5,0.4,1,7.2,2.554415556
7.83,1.83,6,0,0,0,1.39,3.98,4,53.26633166,22.36180905,1,1181,900,2,3,0,1,2,1,8.8,2.227606998
7.83,1.83,6,0,0,0,1.05,6.525016676,4,37.97622264,37.66549581,1.009072311,634,900,1,30,0,0.1,0.75,0,6.8,2.465508133
7.83,1.83,6,0,0,0,1.93,4.88,4,49.59016393,39.75409836,0.99,1235,1000,1,2,0,0.5,0.1,1,7.2,2.001565801
7.4,1.55,5,0,1,0,0.17,9.8,3.2,50.6,38.6,1.093104983,221,600,1,3.124546117,0,0.5,0.167,1,7.2,4.706954823
7.61,1.91,8,0,0,0,0.472082045,1.139508384,2.4,37.05744431,34.75967175,1.080572645,133,1200,3,4.205737598,0,0.1,0.719709098,1,6.8,2.889626644
7.61,1.91,8,0,0,0,0.237,2.4,3,25,8.75,1.052090121,215,1000,1,5,0,0.5,0.3,1,7.2,4.275321828
7.61,1.91,8,0,1,0,5.298932328,3.587818764,4,45.18673,41.38251,1.413324214,981.8255821,800,0.5,2,0,0.5,0.882551619,1,7.2,1.498470731
7.61,1.91,8,0,1,0,7.18,5.727205076,4,48.90811356,16.67226608,1.022260723,620.4287328,1000,2,5,0,0.5,0.8,1,7.2,2.622219725
7.81,1.88,7,0,0,0,0.7,8.589306268,3.7,53.95465995,0,1.02,638,900,2,3,1,1,0.32,0,8.8,4.893573666
7.61,1.91,8,0,0,0,11.19895523,9.623378082,4,51.21343545,0,1.040652481,592.6475487,600,2,5,0,0.5,1,1,7.2,2.163407772
6.5,1.22,1,0,0,0,0.38,9.169199268,3,43.28159645,5.554323725,1.109810731,925.89,1000,2,10,0,0.5,0.8,1,7.2,2.569748617
7.37,1.96,10,0,0,0,1.8,6.01915629,4.3,26.31,8.65,1.086302326,581.3,950,2,4.586115784,1,1,1,1,13.8,3.686318234
