Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Density at Maximum FE (mA/cm2),TOF Reported (h-1),CLCD@MFE
63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,4.7,6.24011097,4,44.78981241,39.10036971,16.10981788,0,1.267342709,530.2670537,1,900,1,3,0,0.1,0.346793441,177.8,0,1,6.8,26.03365,50.57522,66.86241,75.44919,80.40736,-0.89,-0.78,0.78,80.71,0.34045,0.64278,0.9687,1.24266,1.55109,1.55109,,0
58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,2.575564413,3.682605258,4,49.87206,38.70668,11.42126,0,1.400152352,926.5577653,1,700,0.5,2,0,0.5,0.634673102,127,1,1.070833468,7.2,41.58,42.28,42.98,42.28,31.19,-0.76,-0.65,0.65,46.13,0.001,0.609850533,1.709941248,2.810031963,3.238947383,2.4393544,,0
58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,4.468391032,4.86656449,4,45.18061,42.3732,12.44619,0,1.372018598,896.4966161,1,700,0.5,2,0,0.5,0.746746139,127,1,1.060481831,7.2,21.16,31.57,41.98,52.39,43.21,-0.76,-0.65,0.65,57.22,0.001,0.001,2.844021579,6.18304894,6.557683551,6.156872,,0
58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,3.531120796,5.609565315,4,46.95443,41.72056,11.32501,0,1.372962626,826.700258,1,700,0.5,2,0,0.5,0.757590188,127,1,1.077087369,7.2,11.718472,21.590498,31.462524,41.33455,31.706278,-0.76,-0.65,0.65,50,0.001,0.001,1.652433784,3.47718883,3.99235687,3.605,,0
58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,5.744624203,5.349955365,4,56.65582,33.72075,9.62343,0,1.169174915,695.8306577,1,600,0.5,2,0,0.5,0.618533518,127,1,1.087127667,7.2,33.631934,34.643512,35.65509,34.643512,25.295552,-0.76,-0.65,0.65,39.84,0.001,0.540352482,1.457339764,2.374327046,2.395488774,2.685216,,0
58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,5.298932328,3.587818764,4,45.18673,41.38251,13.43076,0,1.413324214,981.8255821,1,800,0.5,2,0,0.5,0.882551619,127,1,0.966023496,7.2,24.018978,28.953692,33.888406,38.82312,29.285956,-0.76,-0.65,0.65,42.19,0.001,0.848704625,2.977302915,5.105901205,5.027921987,1.345861,,0
58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.244,2.27,3.9,61.23348018,26.43171806,12.33480176,0,1,1515,0,1000,1,5,0,0.1,1,25,1,1.155350545,8,43.74587,64.78069,85.1621,81.59347,63.54926,-0.75,-0.64,0.64,90.77,1.05873,1.53797,2.88055,4.45218,6.02381,3.7,3909,0
58.93,27,7.81,1.88,7,0,0,1,0,0,0,0,0.251,2.29,4,54.14847162,27.94759825,17.90393013,0,1,1575,0,1000,1,5,0,0.1,1,25,1,1.165743827,8,61.91573,64.25294,60.40786,42.36366,24.31946,-0.58,-0.47,0.47,66.28,1.93968,2.95455,4.56494,6.44314,8.32134,2.8,1774,0
58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.121,3.03,4.2,57.42574257,27.06270627,15.51155116,0,1.04,1585,0,1000,1,5,0,0.1,1,25,1,1.142379513,8,96.37062,95.54129,88.98204,76.81854,64.65504,-0.48,-0.37,0.37,96.64,3.55008,5.82999,10.37221,14.91443,19.45665,3.22,2031,0
58.693,28,7.61,1.91,8,0,0,0,1,0,1,0,0.237,2.4,3,25,8.75,45,21.2,1.052090121,215,1,1000,1,5,0,0.5,0.3,177.8,1,1,7.2,93.96553,96.04346,98.12139,98.46508,97.563,-0.8,-0.69,0.69,98.46508,0.001,1.54817,5.91165,12.24031,18.39251,12.24031,,1
58.693,28,7.61,1.91,8,0,0,0,1,0,1,0,0.199,2.81,3.5,25.5,2.83,50.9,20.8,1.019782918,57,1,1000,1,5,0,0.5,0.3,177.8,1,1,7.2,57.26274,74.17949,91.09624,92.4044,87.17828,-0.8,-0.69,0.69,92.4044,0.001,0.32896,1.6765,5.30205,7.5239,5.30205,,0
58.693,28,7.61,1.91,8,0,0,0,1,0,1,0,0.085,3.2,4,21.7,4.2,50.3,23.8,1.019350133,20,1,1000,1,5,0,0.5,0.3,177.8,1,1,7.2,0.01,29.35955,78.98297,87.20602,81.54915,-0.8,-0.69,0.69,87.20602,0.001,0.10437,0.4974,1.58827,2.98395,1.58827,,0
0,0,0,0,0,0,0,0,1,0,1,0,0,2.33,0,25.4,3.39,52.5,18.6,1.018004948,373,1,1000,1,5,0,0.5,0.3,177.8,1,1,7.2,0.22274,0.32825,0.43376,4.41747,2.30757,-0.8,-0.69,0.69,4.41747,0.001,0.06426,0.15249,0.24073,0.1926,0.24073,,0
58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,3.77,18.01518053,4.1,59.47159385,32.72319116,7.805214989,0,1.037799047,434.761263,0,700,2,5,0,0.5,1,177.8,1,1,7.3,69.00245,83.34267,98.48817,97.65191,77.27208,-0.7,-0.59,0.59,98.48817,0.4665,1.56921,4.11904,7.158,8.60801,4.11904,,0
55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,5.49,19.35840708,4.1,50.44396448,34.38924886,15.16678666,0,1.032048126,472.9299384,0,700,2,5,0,0.5,1,177.8,1,1,7.3,81.29849,92.41758,85.01518,59.24615,41.87064,-0.6,-0.49,0.49,92.41758,0.49834,1.41292,2.87452,3.58361,4.24639,1.41292,,0
63.546,29,7.69,1.9,10,0,0,0,0,0,0,1,5.05,13.84875211,4.1,52.20078666,24.55516014,18.14946619,5.094587001,1.068665599,601.6931657,0,700,2,5,0,0.5,1,177.8,1,1,7.3,19.13691,37.3177,28.73835,23.68985,18.79621,-0.6,-0.49,0.49,37.3177,0.24654,0.4202,0.45203,0.64016,0.89196,0.4202,,0
58.93,27,7.81,1.88,7,0,0,0,0,0,0,1,3.69,12.47168957,3.8,40.82882883,33.94594595,17.98198198,7.243243243,1.048932249,665.9105978,0,700,2,5,0,0.5,1,177.8,1,1,7.3,14.7698,23.19429,21.98637,18.79621,7.52226,-0.6,-0.49,0.49,23.19429,0.20023,0.56201,0.64016,0.79645,0.43467,0.56201,,0
58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,3.27626261,5.223880597,12,46.5,25.6,17.6,10.3,1.03,156.6,0,800,2,6.241879871,0,0.5,0.25,177.8,0,1,7.4,10.09915,34.85625,57.84109,74.74571,84.83396,-0.9,-0.79,0.79,84.83396,0.2243,0.46146,1.76017,6.24356,11.89015,11.89015,,1
58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,2.4,6.691455747,4,48.1,15.2,27.9,8.8,1.01,210,0,800,2,5.977766973,0,0.5,0.25,177.8,0,1,7.4,39.73678,89.57816,97.73055,98.19407,98.03047,-0.8,-0.69,0.69,98.19407,0.70991,3.42027,10.6592,19.44529,27.24888,19.44529,,1
