Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,3.9,3.9,4,44.4,4.7,38.8,12.1,1.117339337,579.5,1,900,2,5,0,0.5,1,127,0,1,7.2,87.79861,81.77363,75.58207,69.39051,63.19895,-0.49,-0.38,0.38,88.71,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,3,3,4,38.7,8,40.9,12.3,1.118621251,430.1,1,900,2,5,0,0.5,1,127,0,1,7.2,67.55803,49.59416,25.43874,1.28332,0.01,-0.44,-0.33,0.33,70.58,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,3.2,3.2,4,43.6,6.4,41.8,8.2,1.127423904,594.8489072,1,900,2,5,0,0.5,1,127,0,1,7.2,77.24392,67.86252,66.21666,64.5708,62.92494,-0.44,-0.33,0.33,70,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,2.724888838,0,34.72803347,44.76987448,15.06276151,5.439330544,0.95,1358.5,0,400,3,3,0,0.1,1,177.8,1,1,7,0.01,8.16,16.76,25.36,16.51,-0.78,-0.67,0.67,27.09,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.8,4.059706134,4,59.51742627,31.09919571,7.774798928,1.608579088,0.95,1358.5,0,100,2,3,0,0.1,1,177.8,1,1,7,12.38,15.81,19.24,20.77,19.62,-0.75,-0.64,0.64,26.89,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.8,4.124881447,4.1,59.8944591,30.34300792,8.443271768,1.319261214,0.95,1358.5,0,200,2,3,0,0.1,1,177.8,1,1,7,48.32,52.12,55.92,56.32,52.12,-0.77,-0.66,0.66,59.74,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.8,4.168675073,4.7,60.05221932,30.02610966,7.832898172,2.088772846,0.95,1358.5,0,300,2,3,0,0.1,1,177.8,1,1,7,95.04,95.34,95.04,89.64,87.1,-0.62,-0.51,0.51,95.34,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.8,4.191095283,5.1,61.03896104,29.09090909,8.051948052,1.818181818,0.95,1358.5,0,400,2,3,0,0.1,1,177.8,1,1,7,98.66,98.74,98.66,98.93,98.58,-0.87,-0.76,0.76,99.32,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.8,4.490812831,5.1,61.65048544,30.33980583,8.009708738,0,0.85,1342.3,0,400,2,3,0,0.1,1,177.8,1,1,7,88.22,91.26,88.22,82.78,78.42,-0.61,-0.5,0.5,91.77,1,0,0
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,5.92,16.88,4.3,19.21556704,23.90290869,35.1930678,21.68845647,1.01,298,0,900,1,2.5,0,0.5,0.5,177.8,1,1,7.3,67.91,87.44,92.79,96.2,95.33,-0.77,-0.66,0.66,96.43,1,1,1
