Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
Zn,65.38,30,9.35,1.65,10,0,0,1,0,0,0,0,1.640685336,6.067461187,3.58418,54.5112782,31.43072176,25.91921743,0,0.79,647.2984663,0,800,1,8.928576743,0,0.5,2,177.8,1,1,7.2,90.46195,83.88186,75.23222,59.6841,40.18261,-0.5,-0.39,0.39,90.46195,1,0,0
Zn,65.38,30,9.35,1.65,10,0,0,1,0,0,0,0,1.013530268,4.230217647,5.09298,50.54347826,25.87587894,34.8271124,0,0.68,830.7241621,0,900,1,8.18327544,0,0.5,2,177.8,1,1,7.2,54.69596,62.33736,59.25957,43.41959,21.58323,-0.6,-0.49,0.49,62.33736,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,1,0,0,0,0,0.802576972,3.343683832,5.09298,39.51890034,35.3529699,29.49712932,0,0.61,796.4704091,0,1000,1,8.542872664,0,0.5,2,177.8,1,1,7.2,29.78182,48.83225,53.52853,36.81297,26.12031,-0.7,-0.59,0.59,53.52853,0,0,1
Bi,208.98,83,7.25,2.02,10,1,0,0,0,0,0,0,0.2,5.145317655,3.8,31.46,21.44,36.9,10.18,1.01,355.4,0,1000,3,2,0,0.1,0.963441124,177.8,1,1.014704868,7,96.31137,88.22788,80.14439,72.0609,63.97741,-0.50293,-0.39293,0.39293,96.33504,1,1,0
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,1,0,0.72,3.12,4,42.87573195,29.67902841,27.44523964,0,0.92,315.0358753,0,700,1.506148809,7.965496369,0,0.5,0.1,127,0,0.5027,7.2,93.115,95.07896,91.61475,85.72288,79.83101,-0.55,-0.44,0.44,96.44,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,3.721434048,4.886824379,4.4,43.80952381,17.07833765,53.94661309,0,0.91,1032.99823,0,900,1,10,0,0.1,0.4,127,1,0.25,6.8,92.85269,95.67062,92.85269,86.19718,67.60254,-0.6,-0.49,0.49,95.67062,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.358814426,4.95598705,4.4,41.42857143,13.98221931,55.86457074,0,0.93,622.18399,0,900,1,10,0,0.1,0.4,127,1,0.25,6.8,95.20715,96.03213,95.20715,89.6269,76.87205,-0.6,-0.49,0.49,96.03213,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.826781398,5.420706679,4.4,42.82608696,14.64080544,56.17585485,0,0.95,513.05528,0,900,1,10,0,0.1,0.4,127,1,0.25,6.8,94.28947,95.46669,94.28947,85.38147,66.83317,-0.6,-0.49,0.49,95.46669,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.835854416,5.319885644,4.4,44.44444444,17.74625447,49.29006085,0,1.04,622.18399,0,900,1,10,0,0.1,0.4,127,1,0.25,6.8,89.78448,93.67768,89.78448,81.48827,62.12426,-0.6,-0.49,0.49,93.67768,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.699121677,4.613305031,4.6,42.82608696,14.64080544,56.17585485,0,0.95,513.05528,0,700,1,10,0,0.1,0.4,127,1,0.25,6.8,90.68319,87.53778,76.57378,56.17356,31.6169,-0.5,-0.39,0.39,90.68319,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.366013249,3.644523348,3.9,42.82608696,14.64080544,56.17585485,0,0.95,513.05528,0,1100,1,10,0,0.1,0.4,127,1,0.25,6.8,95.08676,94.97442,94.21054,84.88665,66.75561,-0.5,-0.39,0.39,95.08676,1,1,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.89,7.738822745,3.8,48.59098229,30.07246377,21.33655395,0,1.280831575,1202,0,1000,2,5,0,0.5,0.8,177.8,1,1,7.2,56.45871,86.59293,93.62627,91.44351,85.44092,-0.7,-0.59,0.59,93.62627,1,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.89,7.034796702,3.7,45.01686879,39.81034011,15.1727911,0,1.04919271,113,0,1000,2,5,0,0.5,0.8,177.8,1,1,7.2,85.44092,95.99092,97.47641,95.32397,91.95888,-0.7,-0.59,0.59,97.47641,1,1,1
Mn,54.938,25,7.4,1.55,5,0,0,0,0,1,0,0,0.17,9.8,3.2,50.6,38.6,10.8,0,1.093104983,221,0,600,1,3.124546117,0,0.5,0.167,177.8,1,1,7.2,93.52995,96.08395,88.72661,68.16709,47.60757,-0.551,-0.441,0.441,98.34483,1,1,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,9.8,0,52.67549669,29.85430464,17.47019868,0,0.799838543,271,0,600,1,8.75516672,0,0.5,0.167,177.8,1,1,7.2,60.18704,72.05616,68.2324,53.83793,39.44346,-0.65,-0.54,0.54,74,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,5.41,0,42.51386322,11.46025878,21.25693161,24.7689464,1.008561022,623.2403505,0,1000,2,4.914007434,0,0.5,1,177.8,1,1,7.2,58.28368,43.15829,28.0329,12.90751,0.01,-0.5,-0.39,0.39,58.28368,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.69,13.68,3.8,69.51724138,17.65517241,7.586206897,5.24137931,1.130726561,1247,0,800,2,4.636527342,0,0.5,1,177.8,1,1,7.2,81.36293,66.59612,51.82931,37.0625,22.29569,-0.4,-0.29,0.29,87.10014,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.66,7.15,3.3,53.98373984,14.14634146,18.04878049,13.82113821,1.251707369,1246,1,900,2,4.702675374,0,0.5,1,177.8,1,1,7.2,89.64277,77.22301,64.80325,52.38349,39.96373,-0.4,-0.29,0.29,91.98982,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.58,4.3,3,26.45011601,16.93735499,30.62645012,25.98607889,1.226074101,1345,1,1000,2,5.285220794,0,0.5,1,177.8,1,1,7.2,95.57558,93.58711,91.59864,89.61017,87.6217,-0.5,-0.39,0.39,95.57558,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.59,4.05,3,43.7037037,17.77777778,27.40740741,11.11111111,1.108008553,1243,0,1000,2,5.488241642,0,0.5,1,177.8,1,1,7.2,86.63078,81.07861,70.35598,49.81295,30.27625,-0.5,-0.39,0.39,86.63078,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.52,4.13,3,39.80582524,18.93203883,25.97087379,15.29126214,1.107275706,1275,0,1000,2,5.304048117,0,0.5,1,177.8,1,1,7.2,94.68143,92.39116,83.57709,65.53253,50.99279,-0.5,-0.39,0.39,94.68143,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.51,4.09,3,32.18673219,21.86732187,29.72972973,16.21621622,1.129001937,1298,0,1000,2,5.285144231,0,0.5,1,177.8,1,1,7.2,84.72222,80.6969,64.76911,47.73089,33.15644,-0.5,-0.39,0.39,84.72222,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,0.087,2.5,4.2,13.56312691,44.24189549,34.06546872,8.129508883,0.96940754,588.393391,0,800,2,5.681356177,0,0.1,1,177.8,1,1,6.8,26.13964,66.69257,81.69823,90.76079,86.29674,-0.8,-0.69,0.69,90.76079,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,0.087,2.5,4.2,40.81781672,36.49142023,17.99926981,4.691493246,0.990054166,607.4975982,0,700,2,4.883315528,0,0.1,1,177.8,1,1,6.8,6.11385,35.28151,64.44917,78.52832,80.10705,-0.8,-0.69,0.69,80.10705,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,0.087,2.5,4.2,23.14781992,39.50726693,29.38674229,7.958170861,1.416358668,937.6426607,0,900,2,4.129754254,0,0.1,1,177.8,1,1,6.8,4.94921,44.41743,83.88565,92.89216,94.1862,-0.8,-0.69,0.69,94.1862,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,0.39,6.75,5,44.33962264,23.77358491,31.88679245,0,2.1,952,1,900,2,4.890201255,0,0.5,1,177.8,1,1,7.2,23.72676,40.46953,57.2123,73.95507,75.48549,-0.9,-0.79,0.79,75.48549,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,0.41,6.19,4,42.85714286,22.36842105,34.77443609,0,1.1,691.4184748,1,900,2,5.294910496,0,0.5,1,177.8,1,1,7.2,92.44251,93.60563,94.76875,95.93187,98.65601,-0.9,-0.79,0.79,98.65601,1,1,1
Y,89,39,6.5,1.22,1,1,0,0,0,0,0,0,0.38,9.169199268,3,43.28159645,5.554323725,45.39911308,5.764966741,1.109810731,925.89,0,1000,2,10,0,0.5,0.8,127,1,1,7.2,55.07882,84.2902,55.07882,29.53436,3.9899,-0.58156,-0.47156,0.47156,89.58413,0,0,0
Sc,44.956,21,6.57,1.36,1,1,0,0,0,0,0,0,1.24,5.142289869,3,48.5,0,51.5,0,1.051558857,925.89,0,1000,2,10,0,0.5,0.8,127,1,1,7.2,74.75205,80.01368,74.75205,40.31783,5.88361,-0.68,-0.57,0.57,82.43,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,0.6,7.353218675,4,40.16881502,5.69259962,38.05535562,16.08322973,1.152836552,394.137751,0,900,2,3,0,0.5,0.2,177.8,1,1,7.2,52.83162,56.55594,55.56626,55.85275,52.83162,-0.6,-0.49,0.49,56.55594,0,0,0
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,0,1,1.2,6.572115238,4,35.546875,13.21022727,34.33948864,16.90340909,1.162309929,538.8921143,0,900,2,3,0,0.5,0.2,177.8,1,1,7.2,20.07186,21.60384,24.69564,22.85727,23.77646,-0.7,-0.59,0.59,24.69564,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,1.2,6.858753905,4,34.61342396,14.46049278,39.18436703,11.74171623,1.15682429,455.6586426,0,900,2,3,0,0.5,0.2,177.8,1,1,7.2,92.96466,97.95704,97.29713,97.29713,96.60852,-0.6,-0.49,0.49,97.95704,1,1,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,2.14,4.929365706,4.3,35.693,18.241,46.066,0,1.477324878,1174,0,900,1,5,0,0.5,0.4,177.8,0,1,7.2,72.1185,93.02833,96.51781,96.38256,89.70115,-0.7,-0.59,0.59,96.51781,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.01,6.655838658,4,51.015,41.586,7.4,0,0.98,628.3198752,0,1000,1,7.008051371,0,0.5,0.5,177.8,0,0.815083367,7.2,70.05725,85.37294,92.26361,91.64986,73.96289,-0.7,-0.59,0.59,92.26361,1,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.38,5.413578309,4,56.7,31.2,8.13,3.9,0.94,550.1995086,0,1000,1,9.316550049,0,0.5,0.5,177.8,0,1.028830889,7.2,90.70135,80.51879,62.85971,37.52885,16.85685,-0.5,-0.39,0.39,90.70135,1,0,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,0.97,7.13340806,4,45.7,43.8,6.25,4.16,0.97,631.0987364,0,1000,1,7.289453898,0,0.5,0.5,177.8,0,0.848419761,7.2,93.51899,96.95037,97.89889,93.51899,90.08761,-0.7,-0.59,0.59,97.89889,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1.3,2.074474243,4,44.655,23.042,16.187,16.117,0.920675785,294.3710129,0,800,1,10.36489402,0,0.5,0.2,177.8,0,2,7.2,60.99274,95.59909,99.21698,98.82584,90.97592,-0.7,-0.59,0.59,99.21698,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,0.42,0,4,0,0,0,0,1.166624597,503.7426817,0,800,1,8.980060736,0,0.5,0.2,177.8,0,2,7.2,18.73269,25.79152,29.30782,16.81709,5.76962,-0.7,-0.59,0.59,29.30782,0,0,1
none,0,0,0,0,0,0,0,0,0,0,1,0,0,1.21,0,52.86584218,29.95841682,17.45596315,-0.444326769,1.262032628,592.9350006,0,800,1,10.08905501,0,0.5,0.2,177.8,0,2,7.2,29.91136,14.29796,8.99727,4.01148,2.09588,-0.3,-0.19,0.19,35.78,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,0.726565595,11.21732029,4,44.60486322,21.23100304,11.84650456,22.31762918,0.923443821,367.0177752,0,800,1,10.2755176,0,0.5,0.2,177.8,0,2,7.2,44.77465,81.49757,91.48599,80.41223,59.48142,-0.7,-0.59,0.59,91.48599,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,0.953383072,2.453946912,4,45.10628709,20.98700518,12.61173289,21.29497484,0.900747346,237.9225274,0,800,1,10.34424256,0,0.5,0.2,177.8,0,2,7.2,72.96272,92.70922,95.42734,80.08626,64.74518,-0.67,-0.56,0.56,97,1,1,1
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,1.64,7.10487763,4,35.7,55.9,0.08,8.32,1.371312703,910.2742293,0,750,4,5,0,0.5,1,177.8,1,1,7.2,86.59033,93.59192,95.64474,89.26633,71.37745,-0.7,-0.59,0.59,7.017129382,0,0,1
Mn,54.938,25,7.4,1.55,5,0,0,1,0,0,0,0,0.049,4.2,5.1,44.1,33.35,22.5,0,1.201357647,1192,1,900,1,3,0,0.5,0.5,177.8,1,0.949543043,7.2,93.51356,97.23384,89.49325,78.87245,50.46031,-0.6,-0.49,0.49,97.23384,1,1,0
Mn,54.938,25,7.4,1.55,5,0,0,1,0,0,0,0,0.14,3.9,3.9,24.51493167,17.60587144,33.41488105,24.46431584,1.117249205,452,1,900,1,3,0,0.5,0.5,177.8,1,1.043826641,7.2,8.18099,15.25761,16.45756,14.2115,4.55037,-0.7,-0.59,0.59,16.45756,0,0,1
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,1.54,4.131825665,4.4,45.55386289,16.88139282,26.10663765,11.45810664,1.05,1059,1,800,2,5,0,0.5,2,127,1,1,7.2,68.92235,66.11389,54.50908,40.54623,26.58338,-0.5,-0.39,0.39,68.92235,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,0.86,4.290813177,4.2,13.47037559,66.88622021,13.91152503,5.731879174,1.04,1009,1,900,2,5,0,0.5,2,127,1,1,7.2,85.42872,84.97831,81.40149,68.92235,56.44321,-0.5,-0.39,0.39,85.42872,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,0.2,3.769611316,4.4,31.50900846,11.01142123,52.94,4.536967434,1.04,1014,1,1000,2,5,0,0.5,2,127,1,1,7.2,95.23187,93.88062,90.62174,79.04343,67.46512,-0.5,-0.39,0.39,95.23187,1,1,0
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,1,3.28,7.326269792,4,54.35094773,31.66283745,13.98621482,0,0.98,261,0,900,1,3,0,0.1,0.1,177.8,1,0.5,6.8,60.16438,82.47942,92.92586,96.39077,95.97705,-0.85,-0.74,0.74,97.1,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,1,3.28,7.520896137,4,54.35094773,31.66283745,13.98621482,0,0.98,261,0,900,1,3,0,0.5,0.1,177.8,1,0.5,7.2,64.06887,78.41979,91.32269,94.37388,91.32269,-0.75,-0.64,0.64,95.3,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,1,3.28,7.673110024,4,54.35094773,31.66283745,13.98621482,0,0.98,261,0,900,1,3,0,1,0.1,177.8,1,0.5,8.8,67.68892,71.90369,82.63457,83.20343,80.46254,-0.75,-0.64,0.64,84.3,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,1,36.9,10.10989145,12,44.2101021,29.88984417,25.90005373,0,0.83,279,0,900,1,3,0,0.5,0.1,177.8,1,0.5,7.2,53.46201,70.69515,87.72119,89.99902,82.51534,-0.75,-0.64,0.64,91.6,1,0,1
none,0,0,0,0,0,0,0,1,0,0,0,1,0,7.440956733,0,29.78993536,48.59187442,21.61819021,0,0.98,200,0,900,1,3,0,0.5,0.1,177.8,1,0.5,7.2,3.16326,3.60358,3.17898,2.75748,1.68688,-0.6,-0.49,0.49,3.16,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,1,3.28,7.509832905,4,40.0455298,49.57057119,10.38389901,0,0.98,331.2623194,0,900,1,3,0,0.5,0.1,177.8,1,0.5,7.2,41.9463,39.31176,22.8388,11.51463,6.1511,-0.55,-0.44,0.44,49.08386,0,0,0
Co,58.93,27,7.81,1.88,7,0,0,1,0,0,0,1,3.28,8.229797809,4,51.68279929,25.3282154,22.98898531,0,0.98,328.9485297,0,900,1,3,0,0.5,0.1,177.8,1,0.5,7.2,12.06255,16.5171,17.30347,15.5099,12.42736,-0.7,-0.59,0.59,17.30347,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,2.2,3.93,4,57.3,27.5,12.8,2.5,0.972706772,470.5552963,1,900,0.0125,5.994070154,0,0.1,0.3,177.8,0,2,6.8,20.6337,66.96731,95.11152,90.68403,95.11152,-0.7,-0.59,0.59,95.11152,1,1,1
Cu,63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,2.1,3.79,4,43.4,25.8,25.7,5.1,1.028404816,326.1994934,1,900,0.0125,5.900555195,0,0.1,0.3,177.8,0,2,6.8,0.01,0.01,0.72663,2.83545,4.87732,-0.9,-0.79,0.79,4.87732,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,2.2,0,46.6,31.1,17.5,4.8,1.253591581,639.3289922,1,25,24,0,0,0.1,0.3,177.8,0,2,6.8,4.44795,4.96394,5.47993,5.99592,6.51191,-1.2,-1.09,1.09,8.21538,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,8.2,38.23361945,2.1,74.86590282,25.13409718,0,0,1.08,91.4,0,550,2,5,0,0.5,1,127,1,1,7.2,44.31,70.26,96.21,99.9,96.21,-0.8,-0.69,0.69,99.9,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,32,19.92,2,68.16499207,31.83500793,0,0,0.9,144.8,0,550,2,5,0,0.5,1,127,1,1,7.2,68.03643,72.54959,77.06275,81.57591,77.06275,-0.8,-0.69,0.69,81.57591,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,38,16.4,0.64,74.97385849,25.02614151,0,0,1.02,150.1,0,550,2,5,0,0.5,1,127,1,1,7.2,73.83447,73.97305,74.11163,74.25021,74.11163,-0.8,-0.69,0.69,74.25021,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,28,14.5,1.95,55.50787935,44.49212065,0,0,1.023623406,168.9,0,550,2,5,0,0.5,1,127,1,1,7.2,40.55948,62.88234,85.2052,92.20474,85.2052,-0.8,-0.69,0.69,92.20474,1,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,2,38.23361945,4,74.86590282,25.13409718,0,0,1.082188718,91.4,1,550,2,5,0,0.5,1,127,1,1,7.2,89.75162,92.44836,95.1451,97.84184,95.1451,-0.75,-0.64,0.64,98.72,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,5.2,19.92,4,68.16499207,31.83500793,0,0,0.972337263,144.8,1,550,2,5,0,0.5,1,127,1,1,7.2,84.93,85.43,85.93,85.43,84.93,-0.75,-0.64,0.64,88.19,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,5.7,16.4,4,74.97385849,25.02614151,0,0,1.000278352,150.1,1,550,2,5,0,0.5,1,127,1,1,7.2,82.23,83.15,84.07,84.99,84.07,-0.75,-0.64,0.64,86.34,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,2.2,5.374686235,4,46.13248967,0,42.28434917,11.58316116,1.326824359,1066.063913,0,1000,3,5,0,0.5,0.4,177.8,1,2.25,7.2,97.6,99.8,96.6,93.4,90.2,-0.53,-0.42,0.42,99,1,1,0
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,2.2,5.640727266,4,46.13248967,0,42.28434917,11.58316116,1.287948798,1135.309748,0,1000,3,5,1,1,1,177.8,1,2.25,8.8,96.16333,96.12382,96.08431,96.0448,96.00529,-0.45,-0.34,0.34,98,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.1,3.895035339,4,44.41299366,0,45.46884126,10.11816507,1.319639984,1259.477708,0,1000,3,5,0,0.5,0.4,177.8,1,2.25,7.2,28.6,33.8,28.6,23.4,18.2,-0.51,-0.4,0.4,29,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.1,4.453251285,4,44.41299366,0,45.46884126,10.11816507,1.269969796,1361.252988,0,1000,3,5,1,1,1,177.8,1,2.25,8.8,84.53497,76.39274,55.15571,33.91868,12.68165,-0.45,-0.34,0.34,88,0,0,0
Co,58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,2.2,5.592864748,4,56.47655573,0,29.97030805,13.55313621,1.130457013,907.646741,0,1000,3,5,0,0.5,0.4,177.8,1,2.25,7.2,90,74.4,58.8,43.2,27.6,-0.49,-0.38,0.38,91.5,1,0,0
Ni,58.693,28,7.61,1.91,8,0,1,1,0,0,0,0,1.39,6.119044162,4,23.29980225,57.26936635,0,19.4308314,1.47,308,1,900,3,5.204262164,0,0.5,1,177.8,1,1,7.2,90.49876,91.89232,93.28588,95.51556,96.22782,-0.9,-0.79,0.79,96.22782,1,1,1
Ni,58.693,28,7.61,1.91,8,0,1,1,0,0,0,0,1.39,5.395730396,4,23.29980225,57.26936635,0,19.4308314,1.47,308,1,900,3,4.298341887,1,0.5,0.5,177.8,1,4,7.2,55.01032,68.00061,80.9909,93.98119,95.35316,-0.9,-0.79,0.79,95.35316,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,5,9.973957274,3,82.39455539,17.60544461,0,0,0.938631049,401.4848421,0,900,2,21.22119022,0,0.5,1,177.8,1,1,7.2,69.87,79.94803,75.55,70.95887,60.19,-0.6,-0.49,0.49,84,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.8,6.8,3.4,2.702702703,91.89189189,5.405405405,0,1.530968767,772,0,900,3,5,0,0.5,0.3,177.8,1,1,7.2,97.81,91.64,85.47,79.3,73.13,-0.47,-0.36,0.36,95.9,1,1,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.6,7.6,4.3,71.42857143,0,12.5,16.07142857,1.242865297,894.9727275,1,700,2,5,0,0.5,0.6,177.8,1,1,7.2,69.39,66.33,58.44,50.55,42.66,-0.37,-0.26,0.26,75.6,0,0,0
Cu,63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,1.45,4.696209838,2.3,41.67273316,16.90932622,18.65647497,22.76146566,1.03,168,1,900,2,5,0,0.1,0.5,177.8,1,0.5,6.8,81.29597,61.7397,41.20697,24.76993,8.33289,-0.5,-0.39,0.39,81.29597,0,0,0
Cu,63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,1.19,7.050993443,4,50.16896598,22.47665696,21.15613064,6.142818094,1.068520983,340.5493228,1,700,2,5,0,0.1,0.5,177.8,1,0.5,6.8,34.69913,34.69913,33.80653,32.2918,30.77707,-0.5,-0.39,0.39,34.69913,0,0,0
Cu,63.546,29,7.69,1.9,10,0,0,1,0,0,0,0,1.14,7.827835615,4,50.80418936,22.95276944,21.20005751,4.925986907,1.042396734,409.8343894,1,800,2,5,0,0.1,0.5,177.8,1,0.5,6.8,61.856,56.09463,34.4016,22.58133,10.76106,-0.5,-0.39,0.39,61.856,0,0,0
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,2.53,2.75,4,21.19,28.43,50.38,0,1.18,480,1,700,1,1,0,0.5,1.3,127,1,2,7.2,25.79,59.2,73.82,77.16,76.32,-0.78,-0.67,0.67,77.09021,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,2.39,2.82,12,21.91,21.69,56.4,0,1.18,437,1,700,1,1,0,0.5,1.3,127,1,2,7.2,7.37629,15.80131,29.93015,44.97055,47.33764,-0.78,-0.67,0.67,42.98201,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,2.08994,19.38522,3.6,63.54886542,27.25652703,4.940868318,4.253739235,1.07,422.6,1,800,2,10,0,0.5,0.2,127,1,0.25,7.2,68.9041,90.98402,96.8,95.98083,95.23344,-0.7,-0.59,0.59,96.8,1,1,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,1.31087,11.93215,3.8,58.91462145,24.01089983,6.616361688,10.45811703,0.97,582.6,1,900,2,10,0,0.5,0.2,127,1,0.25,7.2,78.70554,95.66052,97.81726,98.6,97.68914,-0.8,-0.69,0.69,98.6,1,1,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.37599,6.40078,3.9,45.22917583,26.82011353,11.3035989,16.64711174,0.94,814.3,1,1000,2,10,0,0.5,0.2,127,1,0.25,7.2,89.7882,98.26569,98.82089,99,98.20163,-0.8,-0.69,0.69,99,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,2.5,4.334964214,4,50.66666667,28.59259259,20.74074074,0,0.87,412.9515937,0,600,2,10,0,0.1,0.3,177.8,0,1.861472084,6.8,45.46105,68.58665,91.71225,96.2089,97.37129,-1,-0.89,0.89,97.86,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,5.0164692,3.699912124,4,41.26935925,23.53477073,22.77558457,12.42028545,1.052093871,250,1,900,2,3,0,0.5,0.1,177.8,0,1,7.3,44.1426,64.61312,75.08932,71.07282,60.1544,-0.73,-0.62,0.62,77.16,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,3.769866261,9.215065035,4,48.32413249,28.3714511,11.04100946,12.26340694,1.07430794,304,1,900,2,3,0,0.5,0.1,177.8,0,1,7.3,67.48581,87.43456,94.31781,96.26776,96.56057,-0.925,-0.815,0.815,97.04,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,2.181540012,10.18967142,2,53.31096592,20.71340279,14.46229913,11.51333216,1.119395763,406,1,900,2,3,0,0.5,0.1,177.8,0,1,7.3,94.23098,97.30676,97.18106,94.83158,92.44139,-0.625,-0.515,0.515,97.22,1,1,1
